"199","emu","0","0","1"
"200","envelope","0","0","1"
"201","escalator","0","0","1"
"202","falcon","0","0","1"
"203","fan_(appliance)","0","0","1"
"204","faucet","0","0","1"
"205","fawn","0","0","1"
"206","fence","0","0","1"
"207","finch","0","0","1"
"208","flamingo","0","0","1"
"209","flea","0","0","1"
"210","flute","0","0","1"
"211","football","0","0","1"
"212","fork","0","0","1"
"213","fox","0","0","1"
"214","freezer","0","0","1"
"215","fridge","0","0","1"
"216","frog","0","0","1"
"217","garage","0","0","1"
"218","garlic","0","0","1"
"219","gate","0","0","1"
"220","giraffe","0","0","1"
"221","gloves","0","0","1"
"222","goat","0","0","1"
"223","goldfish","0","0","1"
"224","goose","0","0","1"
"225","gopher","0","0","1"
"226","gorilla","0","0","1"
"227","gown","0","0","1"
"228","grape","0","0","1"
"229","grapefruit","0","0","1"
"230","grasshopper","0","0","1"
"231","grater","0","0","1"
"232","grenade","0","0","1"
"233","groundhog","0","0","1"
"234","guitar","0","0","1"
"235","gun","0","0","1"
"236","guppy","0","0","1"
"237","hammer","0","0","1"
"238","hamster","0","0","1"
"239","hare","0","0","1"
"240","harmonica","0","0","1"
"241","harp","0","0","1"
"242","harpoon","0","0","1"
"243","harpsichord","0","0","1"
"244","hatchet","0","0","1"
"245","hawk","0","0","1"
"246","helicopter","0","0","1"
"247","helmet","0","0","1"
"248","hoe","0","0","1"
"249","honeydew","0","0","1"
"250","hook","0","0","1"
"251","hornet","0","0","1"
"252","horse","0","0","1"
"253","hose","0","0","1"
"254","hose_(leggings)","0","0","1"
"255","house","0","0","1"
"256","housefly","0","0","1"
"257","hut","0","0","1"
"258","hyena","0","0","1"
"259","iguana","0","0","1"
"260","inn","0","0","1"
"261","jacket","0","0","1"
"262","jar","0","0","1"
"263","jeans","0","0","1"
"264","jeep","0","0","1"
"265","jet","0","0","1"
"266","kettle","0","0","1"
"267","key","0","0","1"
"268","keyboard_(musical)","0","0","1"
"269","kite","0","0","1"
"270","knife","0","0","1"
"271","ladle","0","0","1"
"272","lamb","0","0","1"
"273","lamp","0","0","1"
"274","lantern","0","0","1"
"275","lemon","0","0","1"
"276","leopard","0","0","1"
"277","leotards","0","0","1"
"278","lettuce","0","0","1"
"279","level","0","0","1"
"280","lime","0","0","1"
"281","limousine","0","0","1"
"282","lion","0","0","1"
"283","lobster","0","0","1"
"284","machete","0","0","1"
"285","mackerel","0","0","1"
"286","magazine","0","0","1"
"287","mandarin","0","0","1"
"288","marble","0","0","1"
"289","mat","0","0","1"
"290","medal","0","0","1"
"291","menu","0","0","1"
"292","microscope","0","0","1"
"293","microwave","0","0","1"
"294","mink","0","0","1"
"295","mink_(coat)","0","0","1"
"296","minnow","0","0","1"
"297","mirror","0","0","1"
"298","missile","0","0","1"
"299","mittens","0","0","1"
"300","mixer","0","0","1"
"301","mole_(animal)","0","0","1"
"302","moose","0","0","1"
"303","moth","0","0","1"
"304","motorcycle","0","0","1"
"305","mouse","0","0","1"
"306","mouse_(computer)","0","0","1"
"307","mug","0","0","1"
"308","mushroom","0","0","1"
"309","muzzle","0","0","1"
"310","napkin","0","0","1"
"311","necklace","0","0","1"
"312","nectarine","0","0","1"
