objectID,objectType,playerID,handedness,gender,ethnicity,race,allModelsBrent,allModelsGabe,allModelsMegan,allModelsMelody
6860,yacht,660,1,2,2,5,0,0,0,0
6859,flea,660,1,2,2,5,0,0,0,0
6858,cage,660,1,2,2,5,0,0,1,0
6857,shack,660,1,2,2,5,0,0,0,0
6856,crossbow,660,1,2,2,5,0,0,1,0
6855,pillow,660,1,2,2,5,0,0,0,0
6854,dresser,660,1,2,2,5,0,0,0,0
6853,bike,660,1,2,2,5,0,0,-1,0
6852,spatula,660,1,2,2,5,0,0,0,0
6851,tomato,660,1,2,2,5,0,0,0,0
6850,lime,660,1,2,2,5,0,0,0,0
6849,submarine,660,1,2,2,5,0,0,0,0
6848,bison,660,1,2,2,5,0,0,1,0
6847,sparrow,660,1,2,2,5,0,0,1,0
6846,cottage,660,1,2,2,5,0,0,0,0
6845,marble,660,1,2,2,5,0,0,0,0
6844,lamp,660,1,2,2,5,0,0,0,0
6843,groundhog,660,1,2,2,5,0,0,1,0
6842,couch,659,1,2,2,5,0,0,0,0
6841,bagpipe,659,1,2,2,5,0,0,-1,0
6840,box,659,1,2,2,5,0,0,0,0
6839,vest,659,1,2,2,5,0,0,0,0
6838,squid,659,1,2,2,5,0,0,1,0
6837,clock,659,1,2,2,5,0,0,1,0
6836,pants,659,1,2,2,5,0,0,0,0
6835,scooter,659,1,2,2,5,0,0,1,0
6834,barrel,659,1,2,2,5,0,0,0,0
6833,buzzard,659,1,2,2,5,0,0,1,0
6832,harp,659,1,2,2,5,0,0,1,0
6831,cougar,659,1,2,2,5,0,0,1,0
6830,cup,659,1,2,2,5,0,0,0,0
6829,hose,659,1,2,2,5,0,0,0,0
6828,limousine,659,1,2,2,5,0,0,1,0
6827,shirt,659,1,2,2,5,0,0,0,0
6826,muzzle,659,1,2,2,5,0,0,1,0
6825,sheep,659,1,2,2,5,0,0,1,0
6824,coyote,659,1,2,2,5,0,0,1,0
6823,tortoise,659,1,2,2,5,0,0,0,0
6822,pepper,659,1,2,2,5,0,0,0,0
6821,ambulance,658,1,2,2,5,0,0,-1,0
6817,ladle,655,1,1,1,5,0,0,-1,0
6814,robin,653,1,2,2,5,0,0,1,0
6813,zebra,653,1,2,2,5,0,0,-1,0
6812,toad,653,1,2,2,5,0,0,0,0
6811,sled,653,1,2,2,5,0,0,0,0
6810,clarinet,653,1,2,2,5,0,0,1,0
